panel,split,observed_affine_screen,min_half_span,outcome,median_half_span_a,median_half_span_b,covariance_jackknife_se,covariance_delete_one_min,covariance_delete_one_max,n,mean_a,mean_b,var_a,var_b,covariance,correlation,difference_sd,difference_rmse,average_variance,difference_variance_over_four
own_bracket,income_interleaved,False,0,taxguessmain,24473,18032,0.193942643595,0.293166960297,0.434512221858,2565,0.0328326666151,0.174129660104,1.6026186223,32.4353153946,0.42194735735,0.0585240154321,5.76142684604,5.7620363585,8.72045718291,8.29850982556
own_bracket,income_interleaved,False,0,taxguessds,24473,18032,1.29424772283,-0.115118306403,1.41856927472,2565,0.022029099982,0.0377236674597,3.86826288766,99.5553896943,1.09642498706,0.0558712702726,10.0613519274,10.0594027023,26.404125639,25.307700652
own_bracket,income_interleaved,False,1000,taxguessmain,25431.5,18916.5,0.0957040880935,0.0566864251444,0.15981566543,2460,0.00576147839324,0.0262176052135,1.05367534072,1.46154458022,0.146965537331,0.118428455465,1.49039888831,1.49023633577,0.702287748901,0.555322211569
own_bracket,income_interleaved,False,1000,taxguessds,25431.5,18916.5,1.34124474208,-0.422688928643,1.18012779655,2460,-0.0055497801276,-0.116010594659,3.41277408582,71.4047450997,0.844652770602,0.0541079280915,8.55150358968,8.5504788357,19.1267061817,18.2820534111
own_bracket,income_interleaved,False,5000,taxguessmain,29717,23204,0.0151710044306,0.0226676405908,0.0379683624894,1997,-0.00209936613846,-0.00830002037815,0.281105745641,0.334776379424,0.0309186828392,0.100787974872,0.744341829663,0.744181274262,0.169429872686,0.138511189847
own_bracket,income_interleaved,False,5000,taxguessds,29717,23204,0.340866107226,-0.363833231423,0.0160968941942,1997,-0.0301190780775,-0.0320166969103,1.87653260816,11.097737733,-0.22397366932,-0.0490796750566,3.66363449048,3.66271758264,3.13158075064,3.35555441996
own_bracket,income_interleaved,False,10000,taxguessmain,34334,27743,0.0111259397082,0.0157033680237,0.0270355669711,1555,-0.00877621087095,-0.0189887882891,0.140098425853,0.149876762246,0.0179843369957,0.124111108013,0.503990589304,0.503932001965,0.0814859655226,0.0635016285268
own_bracket,income_interleaved,False,10000,taxguessds,34334,27743,0.399490184277,-0.55446215052,-0.166490764242,1555,-0.0257640299586,-0.0657375893867,1.2454462508,13.2792241159,-0.475164930324,-0.116841072512,3.93382768145,3.93276573726,3.3935851265,3.86875005683
own_bracket,income_interleaved,True,0,taxguessmain,24433,17984,0.194872576707,0.295041134999,0.43703789322,2553,0.0321503412056,0.175547682931,1.60560551806,32.5872494117,0.424419360055,0.0586748391746,5.77442778201,5.77507734044,8.76042341247,8.33600405242
own_bracket,income_interleaved,True,0,taxguessds,24433,17984,1.30032626804,-0.115260477441,1.42561866119,2553,0.0212959940008,0.0385005340349,3.8818879135,100.023236267,1.10198340296,0.0559246283841,10.0846991713,10.0827385878,26.5272727467,25.4252893437
own_bracket,income_interleaved,True,1000,taxguessmain,25404.5,18868,0.0961713281957,0.0573871018952,0.16101580513,2448,0.0049171846722,0.0269713910058,1.05405604086,1.46843567739,0.148109857344,0.119048697727,1.49206970466,1.49192793617,0.704677858234,0.55656800089
own_bracket,income_interleaved,True,1000,taxguessds,25404.5,18868,1.34782901539,-0.424482384269,1.18619053763,2448,-0.00644952119433,-0.115954005925,3.42470388933,71.7547510073,0.849098446878,0.0541653061428,8.57212097458,8.57106950044,19.2194129476,18.3703145007
own_bracket,income_interleaved,True,5000,taxguessmain,29632,23158.5,0.0152545365453,0.0226052492004,0.0379943272183,1986,-0.00149760884574,-0.00778071516316,0.282421536259,0.336428892829,0.0309050060868,0.100261289224,0.746351403103,0.746189929405,0.170165110315,0.139260104229
own_bracket,income_interleaved,True,5000,taxguessds,29632,23158.5,0.342761002334,-0.366001401804,0.0160322573018,1986,-0.0296725155639,-0.031628752945,1.88671910638,11.159055508,-0.22537455402,-0.0491176451984,3.67376152226,3.67283701198,3.14875637659,3.37413093061
own_bracket,income_interleaved,True,10000,taxguessmain,34223.5,27541,0.0112049180341,0.0155877230629,0.0270034368918,1544,-0.00804975705535,-0.0183969724148,0.140795857264,0.150697973447,0.017886738648,0.122795518458,0.505688000071,0.505630098284,0.0818168270019,0.0639300883538
own_bracket,income_interleaved,True,10000,taxguessds,34223.5,27541,0.402360285039,-0.558620565249,-0.167852759322,1544,-0.0251586033515,-0.0654788284425,1.2540464749,13.3736841171,-0.478739519846,-0.116900652024,3.94781073909,3.94673805877,3.41756288808,3.89630240793
own_bracket,question_parity,False,0,taxguessmain,20612,21331,0.312004060741,0.248428822893,0.551116279325,2048,-0.164283669289,0.0195226753519,60.0052740305,7.49498703198,0.530329530409,0.0250072338928,8.15104913503,8.15113155102,17.1402300308,16.6099005004
own_bracket,question_parity,False,0,taxguessds,20612,21331,1.5889980328,0.298990200637,2.12405182594,2048,-0.321593360165,0.0365150691161,113.334246962,28.6584684862,1.82655258803,0.032049784213,11.7617860154,11.7643658257,36.411455156,34.584902568
own_bracket,question_parity,False,1000,taxguessmain,21327,22149,0.124697874254,0.0640239171318,0.196394473844,1955,-0.0140335810381,-0.0124246737884,7.58382864341,5.24409719328,0.178083064965,0.0282385894714,3.5315378671,3.53063491154,3.29602299166,3.11793992669
own_bracket,question_parity,False,1000,taxguessds,21327,22149,1.63417605343,-0.102572769461,1.81093765788,1955,-0.178826546408,-0.0513528348918,63.4992886834,14.9356593192,1.49590665128,0.0485744468381,8.68580075181,8.68451463287,20.3566903263,18.860783675
own_bracket,question_parity,False,5000,taxguessmain,24679,25282,0.0252261796156,0.0231217657458,0.0551393380022,1594,0.00714041842506,-0.00370382186291,0.213350964491,0.417782974557,0.0459397635161,0.153874296771,0.734339439235,0.73418914928,0.18075336652,0.134813603004
own_bracket,question_parity,False,5000,taxguessds,24679,25282,0.134917630772,0.0264208988566,0.20240204428,1594,-0.143215417966,-0.0811615784253,51.8417570774,10.0835766529,0.140800806197,0.00615825946657,7.85135224773,7.8491343754,15.5517338357,15.4109330295
own_bracket,question_parity,False,10000,taxguessmain,28778,29105,0.0124942400361,0.0144810731881,0.0276251447234,1223,-0.00635113548318,-0.00225080020934,0.136439920462,0.147835423373,0.0157044563241,0.110576521181,0.502858261528,0.502669359315,0.0789210641208,0.0632166077968
