panel,min_half_span,n,observed_correlation,assumed_error_correlation,implied_common_target_variance,implied_common_target_sd,implied_error_sd_a,implied_error_sd_b,moment_equation_residual
own_bracket,5000,1986,0.100261289224,0,0.0309050060868,0.175798197052,0.501514237258,0.552742152131,-3.46944695195e-18
own_bracket,5000,1986,0.100261289224,0.025065322306,0.0237772118543,0.154198611713,0.508570864683,0.559152645505,-3.46944695195e-18
own_bracket,5000,1986,0.100261289224,0.050130644612,0.0162715025293,0.127559799817,0.515897309287,0.565824522533,-3.46944695195e-18
own_bracket,5000,1986,0.100261289224,0.075195966918,0.00835714950441,0.0914174463897,0.523511591805,0.572775473746,0
own_bracket,5000,1986,0.100261289224,0.100261289224,0,0,0.531433473032,0.580024907076,8.90641727036e-14
own_bracket,10000,1544,0.122795518458,0,0.017886738648,0.133741312421,0.350583967996,0.364432757582,0
own_bracket,10000,1544,0.122795518458,0.0306988796145,0.0138402038711,0.117644395834,0.356308368401,0.369942927458,-3.46944695195e-18
own_bracket,10000,1544,0.122795518458,0.061397759229,0.00952877635373,0.0976154514087,0.362307991784,0.375724895493,-3.46944695195e-18
own_bracket,10000,1544,0.122795518458,0.0920966388435,0.00492558568529,0.0701825169489,0.368605848541,0.38180150309,0
own_bracket,10000,1544,0.122795518458,0.122795518458,0,0,0.375227740531,0.388198368682,-3.57283647112e-14
random_full,0,4197,0.754182090029,0,0.0242469276876,0.155714250111,0.0867137274946,0.0910573449569,0
random_full,0,4197,0.754182090029,0.188545522507,0.0224118572943,0.14970590267,0.0967178418354,0.100630564263,0
random_full,0,4197,0.754182090029,0.377091045015,0.0194648114752,0.139516348416,0.110911616832,0.114339653152,0
random_full,0,4197,0.754182090029,0.565636567522,0.0139577541249,0.118142939378,0.133448282487,0.136310724572,-3.46944695195e-18
random_full,0,4197,0.754182090029,0.754182090029,0,0,0.178230744328,0.1803839454,-5.08655617626e-14
