tax,welfare_certain,welfare_uncertain
0.05,64.85705597406371,64.87442321889964
0.1111111111111111,64.8859058420506,64.890236229309
0.17222222222222222,64.82881113317873,64.80167509298285
0.23333333333333328,64.6670859597678,64.64752350873707
0.2944444444444444,64.37732524598397,64.34012338610279
0.3555555555555555,63.92987233532311,63.87101347052073
0.4166666666666666,63.286633291972535,63.20973644547048
0.4777777777777777,62.397869558752326,62.385179342621925
0.5388888888888889,61.19732520591945,61.16624231590532
0.6,59.59449594392673,59.513804723477236
