tax,welfare_certain,welfare_uncertain
0.05,64.85705597406371,64.87442321889964
0.07894736842105263,64.88040559869239,64.88815662648963
0.10789473684210527,64.88638450020815,64.89529718258659
0.13684210526315788,64.87332705587181,64.86147262040639
0.16578947368421051,64.83938972912951,64.84132863038104
0.19473684210526315,64.78252778340946,64.77142752192638
0.22368421052631576,64.70046822497935,64.70034694197223
0.2526315789473684,64.59067822334282,64.58387002866458
0.28157894736842104,64.45032807513593,64.40942090158377
0.31052631578947365,64.27624754157843,64.23760947097746
0.33947368421052626,64.06487408165953,64.0791352187029
0.36842105263157887,63.81219109720675,63.815044308963955
0.39736842105263154,63.51365376438275,63.515928351265224
0.42631578947368415,63.16409929470865,63.073670434254524
0.45526315789473676,62.757637467429845,62.69316263234046
0.4842105263157894,62.2875158838986,62.21073308332565
0.513157894736842,61.74595243005234,61.750562209423414
0.5421052631578946,61.123924608134075,61.022999632684005
0.5710526315789474,60.410901254586875,60.38507663208489
0.6,59.59449594392673,59.513804723477236
